,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
53,54,flattened:0017-1147-1761:16_1470204430,44244,1758.866,1148.252,246.44,228.588,88.649,251.39,17,1752,1273,86.80799999999999,229.41099999999997,16,1470204430,282836.17630895495,True,False,1,6.0
54,55,flattened:0017-1250-0970:16_1470204430,36603,977.523,1251.123,225.178,206.967,13.152000000000001,233.386,17,856,1235,164.59400000000002,206.889,16,1470204430,217175.55887147321,True,False,1,7.0
55,56,flattened:0018-0554-0578:17_1470204490,42081,580.044,554.327,237.984,225.138,44.038000000000004,240.832,18,484,624,32.106,224.877,17,1470204490,257029.37683453035,True,False,1,5.0
56,57,flattened:0018-1147-1761:17_1470204490,44339,1758.6860000000001,1148.108,246.52900000000002,228.99599999999998,88.67399999999999,251.24099999999999,18,1755,1273,87.491,229.627,17,1470204490,282954.43312187464,True,False,1,6.0
57,58,flattened:0018-1250-0969:17_1470204490,36651,977.617,1250.913,225.23,207.19099999999997,13.105,233.574,18,856,1236,165.36900000000003,207.0,17,1470204490,217618.3248777786,True,False,1,7.0
58,59,flattened:0019-0554-0578:18_1470204550,42105,580.345,554.111,237.97799999999998,225.27200000000002,44.037,240.959,19,482,620,31.249000000000002,225.08599999999998,18,1470204550,257586.10342139326,True,False,1,5.0
59,60,flattened:0019-1147-1761:18_1470204550,44346,1758.3529999999998,1148.101,246.665,228.90599999999998,88.456,251.50900000000001,19,1752,1273,86.353,229.52200000000002,18,1470204550,283242.27016787167,True,False,1,6.0
60,61,flattened:0019-1250-0969:18_1470204550,36659,977.9760000000001,1251.016,225.729,206.778,13.214,234.35,19,856,1235,164.65900000000002,206.67,18,1470204550,218279.88951274715,True,False,1,7.0
61,62,flattened:0020-0553-0579:19_1470204610,42166,581.5509999999999,553.431,238.07299999999998,225.50900000000001,48.443999999999996,240.865,20,488,626,35.538000000000004,225.08599999999998,19,1470204610,257430.27162187657,True,False,1,5.0
62,63,flattened:0020-1147-1761:19_1470204610,44375,1758.424,1148.1689999999999,246.831,228.90099999999998,88.713,251.575,20,1751,1273,86.125,229.632,19,1470204610,283553.2826462681,True,False,1,6.0
63,64,flattened:0020-1250-0970:19_1470204610,36608,978.12,1250.56,225.545,206.658,13.382,234.887,20,856,1234,164.18900000000002,206.511,19,1470204610,218841.63640348302,True,False,1,7.0
64,65,flattened:0021-0553-0580:20_1470204670,42242,581.645,552.996,238.138,225.85299999999998,55.961000000000006,240.801,21,484,620,36.727,225.513,20,1470204670,258032.39507076642,True,False,1,5.0
65,66,flattened:0021-1147-1761:20_1470204670,44404,1758.256,1147.9560000000001,247.09,228.81099999999998,88.23200000000001,251.796,21,1749,1273,85.444,229.87900000000002,20,1470204670,284381.40051828563,True,False,1,6.0
