,IJind,Label,Area,X,Y,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Image,Time,Volume,Media,Moving,ImGroup,blobID
45,46,flattened:0013-1698-1003:12_1470191960,39458,1003.398,1697.83,232.424,216.15400000000002,126.678,234.16400000000002,13,960,1588,112.074,217.352,12,1470191960,234238.51414435022,True,False,1,8.0
46,47,flattened:0014-1013-0973:13_1470192020,38674,974.762,1013.294,227.9,216.065,89.765,230.825,14,959,900,98.973,217.0,13,1470192020,228540.86892294395,True,False,1,6.0
47,48,flattened:0014-1223-1451:13_1470192020,37778,1449.7979999999998,1223.77,220.675,217.97,11.13,223.403,14,1340,1213,173.575,218.0,13,1470192020,218849.0733690574,True,False,1,7.0
48,49,flattened:0014-1699-1003:13_1470192020,39492,1003.117,1698.082,232.25099999999998,216.50099999999998,127.645,234.386,14,958,1589,112.846,217.80599999999998,13,1470192020,235292.1806253146,True,False,1,8.0
49,50,flattened:0015-1012-0975:14_1470192080,38634,976.4760000000001,1012.061,227.57,216.15400000000002,91.965,230.497,15,959,899,99.994,217.0,14,1470192080,228039.0667825518,True,False,1,6.0
50,51,flattened:0015-1221-1452:14_1470192080,37757,1451.245,1221.913,220.588,217.93400000000003,6.486000000000001,223.37900000000002,15,1341,1219,176.66400000000002,217.0,14,1470192080,217329.49625455186,True,False,1,7.0
51,52,flattened:0015-1699-1002:14_1470192080,39483,1002.814,1698.839,232.285,216.421,128.237,234.546,15,955,1591,114.161,217.729,14,1470192080,235421.76829479178,True,False,1,8.0
52,53,flattened:0016-1011-0978:15_1470192140,38695,978.4760000000001,1011.66,227.43900000000002,216.62099999999998,95.23200000000001,230.274,16,959,899,102.286,217.83599999999998,15,1470192140,228977.48328177567,True,False,1,6.0
53,54,flattened:0016-1222-1452:15_1470192140,37800,1451.444,1222.16,220.78099999999998,217.99200000000002,3.417,223.45,16,1342,1208,171.507,218.0,15,1470192140,218918.98908134358,True,False,1,7.0
54,55,flattened:0016-1699-1002:15_1470192140,39479,1002.311,1698.7979999999998,232.07,216.59900000000002,128.534,233.857,16,958,1590,113.166,217.804,15,1470192140,234464.25692943405,True,False,1,8.0
55,56,flattened:0017-1009-0982:16_1470192200,38707,982.9810000000001,1010.3860000000001,227.449,216.678,98.38,230.269,17,954,900,107.176,217.0,16,1470192200,227690.68620364205,True,False,1,6.0
56,57,flattened:0017-1221-1453:16_1470192200,37805,1452.342,1221.03,220.893,217.91,1.8619999999999999,223.75400000000002,17,1343,1205,171.00099999999998,218.0,16,1470192200,219371.56953067295,True,False,1,7.0
57,58,flattened:0017-1699-1001:16_1470192200,39472,1002.063,1699.317,231.68200000000002,216.924,129.124,233.335,17,957,1591,113.48899999999999,218.255,16,1470192200,234353.70269395082,True,False,1,8.0
58,59,flattened:0018-1009-0983:17_1470192260,38788,983.303,1010.48,227.356,217.22099999999998,98.51799999999999,230.22799999999998,18,958,899,105.36399999999999,218.0,17,1470192260,229158.4196050449,True,False,1,6.0
59,60,flattened:0018-1220-1453:17_1470192260,37815,1452.9189999999999,1220.271,220.87599999999998,217.985,177.398,223.43,18,1344,1202,169.947,218.0,17,1470192260,218889.23589465613,True,False,1,7.0
60,61,flattened:0018-1701-1001:17_1470192260,39466,1001.875,1700.003,231.523,217.04,130.643,233.206,18,916,1621,138.999,218.547,17,1470192260,234607.5620126492,True,False,1,8.0
61,62,flattened:0019-1009-0983:18_1470192320,38840,983.65,1010.472,227.49200000000002,217.382,98.649,230.269,19,955,900,107.176,218.0,18,1470192320,229221.3096162551,True,False,1,6.0
62,63,flattened:0019-1220-1453:18_1470192320,37868,1452.414,1220.357,220.963,218.204,177.33599999999998,223.91299999999998,19,1343,1204,170.748,218.0,18,1470192320,219608.529255369,True,False,1,7.0
63,64,flattened:0019-1700-1001:18_1470192320,39486,1001.789,1699.874,231.47799999999998,217.192,131.309,233.46099999999998,19,951,1594,115.90700000000001,218.662,18,1470192320,235184.48732292184,True,False,1,8.0
64,65,flattened:0020-1009-0983:19_1470192380,38850,984.393,1010.33,227.38299999999998,217.542,98.735,230.361,20,958,899,106.39,218.775,19,1470192380,230553.89896103195,True,False,1,6.0
65,66,flattened:0020-1220-1453:19_1470192380,37888,1452.763,1220.4560000000001,221.24400000000003,218.042,174.2,223.78799999999998,20,1344,1200,169.44299999999998,218.0,19,1470192380,219422.22582878883,True,False,1,7.0
66,67,flattened:0020-1700-1002:19_1470192380,39447,1001.7389999999999,1699.609,231.149,217.28599999999997,131.601,232.899,20,914,1623,140.226,218.486,19,1470192380,234034.69184309855,True,False,1,8.0
67,68,flattened:0021-1009-0984:20_1470192440,38855,984.81,1010.047,227.088,217.85299999999998,98.664,229.804,21,955,900,105.911,219.0,20,1470192440,230043.00252402844,True,False,1,6.0
68,69,flattened:0021-1220-1453:20_1470192440,37898,1452.934,1220.614,221.234,218.109,173.455,223.78799999999998,21,1344,1200,169.44299999999998,218.0,20,1470192440,219422.22582878883,True,False,1,7.0
69,70,flattened:0021-1700-1002:20_1470192440,39477,1001.863,1699.547,231.233,217.373,130.815,233.002,21,951,1594,116.235,218.476,20,1470192440,234179.37793807965,True,False,1,8.0
70,71,flattened:0022-1009-0983:21_1470192500,38823,984.51,1010.2719999999999,226.608,218.13400000000001,99.65299999999999,229.532,22,956,900,105.671,219.0,21,1470192500,229624.99968239813,True,False,1,6.0
71,72,flattened:0022-1220-1453:21_1470192500,37929,1452.918,1220.396,221.32,218.203,170.88,223.636,22,1342,1212,173.06599999999997,218.0,21,1470192500,219195.82286213452,True,False,1,7.0
72,73,flattened:0022-1700-1001:21_1470192500,39445,1001.687,1699.2120000000002,230.928,217.483,129.915,233.02599999999998,22,952,1593,115.685,218.674,21,1470192500,234524.99869561105,True,False,1,8.0
73,74,flattened:0023-1009-0984:22_1470192560,38854,984.6210000000001,1010.154,226.638,218.28,100.2,229.804,23,955,900,105.911,219.0,22,1470192560,230043.00252402844,True,False,1,6.0
74,75,flattened:0023-1220-1453:22_1470192560,37913,1453.156,1220.328,221.123,218.305,168.951,223.78799999999998,23,1344,1201,169.44299999999998,218.0,22,1470192560,219422.22582878883,True,False,1,7.0
75,76,flattened:0023-1700-1001:22_1470192560,39441,1001.5310000000001,1699.251,230.812,217.57,129.885,232.59400000000002,23,952,1593,115.463,218.704,22,1470192560,233899.3942984924,True,False,1,8.0
76,77,flattened:0024-1009-0984:23_1470192620,38839,984.4839999999999,1010.309,226.394,218.43,100.73700000000001,229.201,24,960,899,104.4,219.673,23,1470192620,230150.658796445,True,False,1,6.0
77,78,flattened:0024-1220-1453:23_1470192620,37895,1453.21,1220.427,221.055,218.269,163.099,223.78799999999998,24,1344,1201,169.44299999999998,218.0,23,1470192620,219422.22582878883,True,False,1,7.0
78,79,flattened:0024-1700-1001:23_1470192620,39421,1001.615,1699.068,230.613,217.64700000000002,129.368,232.142,24,918,1618,137.444,218.69299999999998,23,1470192620,233180.23963301908,True,False,1,8.0
79,80,flattened:0025-1009-0985:24_1470192680,38814,985.556,1010.163,226.35299999999998,218.33,99.74799999999999,229.12,25,957,900,106.22,219.0,24,1470192680,228992.8131735323,True,False,1,6.0
